school_name,rank_detail_url,school_rating,school_rank,city,school_group,school_type
St. Benedict,/school/ab/elementary/8511,6.6,320/848,Calgary,elementary,Separate
St. Bernadette,/school/ab/elementary/8709,6.7,299/848,Calgary,elementary,Separate
St. Boniface,/school/ab/elementary/8532,5.7,491/848,Calgary,elementary,Separate
St. Brigid,/school/ab/elementary/1119,8.1,83/848,Calgary,elementary,Separate
St. Catherine,/school/ab/elementary/8533,6.9,268/848,Calgary,elementary,Separate
St. Cecilia,/school/ab/elementary/8513,7.6,153/848,Calgary,elementary,Separate
St. Clare,/school/ab/elementary/1118,6.6,320/848,Calgary,elementary,Separate
St. Cyril,/school/ab/elementary/8723,4.5,682/848,Calgary,elementary,Separate
St. Dominic,/school/ab/elementary/8531,8,93/848,Calgary,elementary,Separate
St. Elizabeth Seton,/school/ab/elementary/588,6.9,268/848,Calgary,elementary,Separate
St. Gianna,/school/ab/elementary/2328,6.7,299/848,Calgary,elementary,Separate
St. Henry,/school/ab/elementary/8534,5.6,513/848,Calgary,elementary,Separate
St. Hubert,/school/ab/elementary/8502,7.9,112/848,Calgary,elementary,Separate
St. Isabella,/school/ab/elementary/1680,6.9,268/848,Calgary,elementary,Separate
St. Isidore Online,/school/ab/elementary/2344,6.3,377/848,Calgary,elementary,Separate
St. James,/school/ab/elementary/8712,4.3,706/848,Calgary,elementary,Separate
St. Jerome,/school/ab/elementary/1340,8.3,64/848,Calgary,elementary,Separate
St. Joan of Arc,/school/ab/elementary/1338,8.7,41/848,Calgary,elementary,Separate
St. Joseph,/school/ab/elementary/8713,8.4,56/848,Calgary,elementary,Separate
St. Jude,/school/ab/elementary/8546,6.5,343/848,Calgary,elementary,Separate
St. Luke,/school/ab/elementary/8521,7.5,167/848,Calgary,elementary,Separate
St. Margaret,/school/ab/elementary/8714,7.2,215/848,Calgary,elementary,Separate
St. Marguerite,/school/ab/elementary/2082,6.4,355/848,Calgary,elementary,Separate
St. Maria Goretti,/school/ab/elementary/8556,7.2,215/848,Calgary,elementary,Separate
St. Mark,/school/ab/elementary/8536,4.3,706/848,Calgary,elementary,Separate
St. Martha,/school/ab/elementary/8725,4.8,650/848,Calgary,elementary,Separate
St. Matthew,/school/ab/elementary/8716,6.9,268/848,Calgary,elementary,Separate
St. Michael,/school/ab/elementary/8717,5.4,557/848,Calgary,elementary,Separate
St. Monica,/school/ab/elementary/8530,4,735/848,Calgary,elementary,Separate
St. Patrick,/school/ab/elementary/8507,4.1,727/848,Calgary,elementary,Separate
St. Peter,/school/ab/elementary/8543,3.6,770/848,Calgary,elementary,Separate
St. Philip,/school/ab/elementary/8724,7.9,112/848,Calgary,elementary,Separate
St. Pius X,/school/ab/elementary/8524,6.3,377/848,Calgary,elementary,Separate
St. Rita,/school/ab/elementary/8547,6.7,299/848,Calgary,elementary,Separate
St. Rose of Lima,/school/ab/elementary/8722,3.8,754/848,Calgary,elementary,Separate
St. Rupert,/school/ab/elementary/8548,5.9,456/848,Calgary,elementary,Separate
St. Sebastian,/school/ab/elementary/1339,7,251/848,Calgary,elementary,Separate
St. Stephen,/school/ab/elementary/8719,8.1,83/848,Calgary,elementary,Separate
St. Sylvester,/school/ab/elementary/8537,6.9,268/848,Calgary,elementary,Separate
St. Thomas Aquinas,/school/ab/elementary/8527,6.8,289/848,Calgary,elementary,Separate
St. Thomas More,/school/ab/elementary/8544,5.7,491/848,Calgary,elementary,Separate
St. Vincent De Paul,/school/ab/elementary/8528,9.1,22/848,Calgary,elementary,Separate
St. Wilfrid,/school/ab/elementary/8541,5.5,537/848,Calgary,elementary,Separate
St. William,/school/ab/elementary/8529,5.1,602/848,Calgary,elementary,Separate
de la Source,/school/ab/elementary/1014,3.2,794/848,Calgary,elementary,Francophone
du Nouveau-Monde,/school/ab/elementary/2149,5.2,593/848,Calgary,elementary,Francophone
La Mosaïque,/school/ab/elementary/1365,1.7,831/848,Calgary,elementary,Francophone
Notre-Dame de la Paix,/school/ab/elementary/1378,4.6,675/848,Calgary,elementary,Francophone
Sainte Marguerite Bourgeoys,/school/ab/elementary/8707,6.5,343/848,Calgary,elementary,Francophone
Terre des Jeunes,/school/ab/elementary/1364,8.7,41/848,Calgary,elementary,Francophone
Almadina,/school/ab/elementary/1725,6.4,355/848,Calgary,elementary,Charter
Calgary Arts,/school/ab/elementary/1126,4,735/848,Calgary,elementary,Charter
Foundations for the Future,/school/ab/elementary/9,8.9,28/848,Calgary,elementary,Charter
Westmount,/school/ab/elementary/6002,9.4,14/848,Calgary,elementary,Charter
Bearspaw Christian,/school/ab/secondary/9927,9.1,11/253,Calgary,secondary,Private
Calgary Academy,/school/ab/secondary/9908,5.4,160/253,Calgary,secondary,Private
Calgary Academy Collegiate,/school/ab/secondary/1015,8.8,15/253,Calgary,secondary,Private
Edge,/school/ab/secondary/428,6.5,93/253,Calgary,secondary,Private
Foothills,/school/ab/secondary/9917,6.4,101/253,Calgary,secondary,Private
Renert School,/school/ab/secondary/1747,10,1/253,Calgary,secondary,Private
Rundle College,/school/ab/secondary/9952,10,1/253,Calgary,secondary,Private
Rundle College Academy,/school/ab/secondary/5297,8.4,23/253,Calgary,secondary,Private
Webber,/school/ab/secondary/21,10,1/253,Calgary,secondary,Private
West Island College,/school/ab/secondary/9913,9.8,5/253,Calgary,secondary,Private
Bowness,/school/ab/secondary/9847,6,129/253,Calgary,secondary,Public
Calgary Christian,/school/ab/secondary/9978,7.8,38/253,Calgary,secondary,Public
Calgary Islamic,/school/ab/secondary/9969,4.1,215/253,Calgary,secondary,Public
Centennial,/school/ab/secondary/1224,7.8,38/253,Calgary,secondary,Public
Central Memorial,/school/ab/secondary/9823,5.3,165/253,Calgary,secondary,Public
Chestermere,/school/ab/secondary/5208,6.7,78/253,Calgary,secondary,Public
Crescent Heights,/school/ab/secondary/9815,6.2,114/253,Calgary,secondary,Public
Dr. E. P. Scarlett,/school/ab/secondary/9858,8,33/253,Calgary,secondary,Public
Ernest Manning,/school/ab/secondary/9826,8.7,19/253,Calgary,secondary,Public
Forest Lawn,/school/ab/secondary/9813,4.2,213/253,Calgary,secondary,Public
Henry Wise Wood,/school/ab/secondary/9836,7.5,46/253,Calgary,secondary,Public
Heritage Christian,/school/ab/secondary/9906,6.8,73/253,Calgary,secondary,Public
James Fowler,/school/ab/secondary/9825,3.6,227/253,Calgary,secondary,Public
John G Diefenbaker,/school/ab/secondary/9860,7.1,56/253,Calgary,secondary,Public
Lester B. Pearson,/school/ab/secondary/9865,5.1,178/253,Calgary,secondary,Public
Lord Beaverbrook,/school/ab/secondary/9850,5.1,178/253,Calgary,secondary,Public
Master's College,/school/ab/secondary/1562,9,13/253,Calgary,secondary,Public
National Sport,/school/ab/secondary/9830,7.9,36/253,Calgary,secondary,Public
Nelson Mandela,/school/ab/secondary/1989,5.6,148/253,Calgary,secondary,Public
Queen Elizabeth,/school/ab/secondary/9806,6.8,73/253,Calgary,secondary,Public
Robert Thirsk,/school/ab/secondary/1679,5.6,148/253,Calgary,secondary,Public
Sir Winston Churchill,/school/ab/secondary/9857,8.4,23/253,Calgary,secondary,Public
Springbank,/school/ab/secondary/5223,8.3,28/253,Calgary,secondary,Public
Western Canada,/school/ab/secondary/9816,8.8,15/253,Calgary,secondary,Public
William Aberhart,/school/ab/secondary/9829,8.4,23/253,Calgary,secondary,Public
Bishop Carroll,/school/ab/secondary/8905,8,33/253,Calgary,secondary,Separate
Bishop Grandin,/school/ab/secondary/8901,6.1,122/253,Calgary,secondary,Separate
Bishop McNally,/school/ab/secondary/8907,6.2,114/253,Calgary,secondary,Separate
Bishop O'Byrne,/school/ab/secondary/581,6.7,78/253,Calgary,secondary,Separate
Clear Water,/school/ab/secondary/7976,9.1,11/253,Calgary,secondary,Separate
Father Lacombe,/school/ab/secondary/8903,5.2,174/253,Calgary,secondary,Separate
Notre Dame,/school/ab/secondary/1275,7.2,51/253,Calgary,secondary,Separate
St. Francis,/school/ab/secondary/8902,7.2,51/253,Calgary,secondary,Separate
St. Mary's,/school/ab/secondary/8904,6.5,93/253,Calgary,secondary,Separate
Foundations for the Future (FFCA),/school/ab/secondary/12,9.4,8/253,Calgary,secondary,Charter
Westmount,/school/ab/secondary/6002,8.8,15/253,Calgary,secondary,Charter
